id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
12871394,Vanderbilt's Village Retreat @ HBV,7938475,Sherrye,,28803,35.5659,-82.54307,Entire home/apt,125,2,129,2019-01-27,3.89,2,345
12918380,Clean and Private Bungalow Apt. in W. Asheville,70859007,Courteney And Brad,,28806,35.58611,-82.58079,Entire home/apt,88,1,122,2019-02-10,4.79,1,164
12925044,Charming New Arts & Crafts Home,14165703,Jill,,28704,35.45429,-82.50108,Entire home/apt,135,2,51,2019-02-10,1.68,1,20
12944995,Country Garden Getaway with Hot Tub,40029182,Matthew,,28805,35.64383,-82.47885,Entire home/apt,59,2,133,2019-01-21,3.97,2,315
12965736,Mountain Views over the River with Hot Tub,23775820,Miriam,,28805,35.60476,-82.47097,Entire home/apt,125,2,231,2019-02-08,6.95,1,214
12972968,Baumhaus - It’s all about the view!,23026854,Robert,,28804,35.63096,-82.54,Entire home/apt,450,2,79,2018-12-30,2.37,1,261
12989718,Female Dorm Single Bed at BPS Hostel,746673,BonPaul,,28806,35.57806,-82.59661,Shared room,27,1,48,2019-02-05,1.43,7,344
13010670,Hart House - Luxurious Country Home,67057274,Mary,,28732,35.46802,-82.46502,Entire home/apt,775,2,19,2019-01-21,0.69,2,298
13017092,Raven's Nest Cottage,71845182,Ted,,28801,35.60796,-82.54444,Entire home/apt,175,2,95,2019-01-02,2.95,1,229
13018143,Large 2BR Apartment in W. Asheville,46636576,Stefany,,28806,35.59031,-82.60299,Entire home/apt,119,2,38,2019-02-10,1.14,1,297
13027063,East Asheville Oasis,71960528,Alec,,28805,35.58145,-82.50173,Entire home/apt,129,2,32,2019-02-09,1.56,1,359
13032117,Independent room with private bathr,12663543,MiguelAndres,,28801,35.58741,-82.55558,Private room,1850,20,0,,,1,359
13044640,Charming Bungalow in the heart of West Asheville,21362898,Susan,,28806,35.5806,-82.59733,Private room,180,2,14,2018-12-31,0.52,2,0
13093505,"Heart of Downtown - Bright,Spacious,Historic",23092470,April,,28801,35.5917,-82.55409,Entire home/apt,129,1,228,2019-02-07,7.13,3,239
13093999,Sweet Studio w/Private Deck Right Near Asheville,11307909,Sarah,,28805,35.60915,-82.51155,Entire home/apt,109,2,40,2018-11-03,1.25,1,198
13108582,"Bob's Urban Barn, 2BR Top Floor Suite / 2, 3 or 4!",996829,Bob,,28803,35.57519,-82.54539,Private room,92,2,191,2019-02-10,7.17,3,47
13112074,Sam's Cottage,72903706,Katherine,,28804,35.63109,-82.5283,Entire home/apt,145,2,87,2019-01-01,2.69,2,79
13113051,Contemporary Cabin Updated in 2016 - near downtown,21353533,Trip,,28803,35.53681,-82.48353,Entire home/apt,199,3,87,2018-11-24,2.83,2,244
13122771,"3 bed 2 bath.1 queen, 1full, 2twin",72766895,Jennifer,,28732,35.40976,-82.49497,Entire home/apt,112,1,12,2016-10-31,0.37,1,0
13136198,Urban Farm Studio ~ Close to Everything!,71564543,Renee,,28806,35.57506,-82.61024,Entire home/apt,89,2,152,2019-01-28,4.89,2,259
13149407,Never Ending Weekend,73351074,Jen & Ross,,28806,35.57294,-82.59836,Entire home/apt,95,2,94,2019-01-27,5.22,1,70
13180224,1/4 mile from Downtown Renovated Bungalow!,22763355,Nessa,,28801,35.59074,-82.54281,Entire home/apt,78,30,97,2018-12-30,2.93,3,45
13186091,Bluebird Sanctuary,51831860,Annelise,,28806,35.58572,-82.56996,Entire home/apt,170,2,50,2019-01-01,1.53,1,107
13206560,Downtown Loft with Balcony,2307713,Krista,,28801,35.5941,-82.55379,Entire home/apt,172,1,233,2019-02-14,7.22,3,276
13209065,Serenity Place,74038380,Terri,,28806,35.56925,-82.61425,Private room,55,2,81,2018-12-31,2.80,1,365
